home,away
Illinois,Michigan
Illinois,Michigan State
Illinois,Minnesota
Illinois,Purdue
Indiana,Maryland
Indiana,Michigan
Indiana,Nebraska
Indiana,Purdue
Indiana,Washington
Iowa,Nebraska
Iowa,Northwestern
Iowa,Washington
Iowa,Wisconsin
Maryland,Iowa
Maryland,Michigan State
Maryland,Northwestern
Maryland,Rutgers
Maryland,USC
Michigan,Michigan State
Michigan,Minnesota
Michigan,Northwestern
Michigan,Oregon
Michigan,USC
Michigan State,Indiana
Michigan State,Iowa
Michigan State,Ohio State
Michigan State,Purdue
Michigan State,Rutgers
Minnesota,Iowa
Minnesota,Maryland
Minnesota,Penn State
Minnesota,USC
Nebraska,Illinois
Nebraska,Rutgers
Nebraska,UCLA
Nebraska,Wisconsin
Northwestern,Illinois
Northwestern,Indiana
Northwestern,Ohio State
Northwestern,Wisconsin
Oregon,Illinois
Oregon,Maryland
Oregon,Michigan State
Oregon,Ohio State
Oregon,Washington
Ohio State,Indiana
Ohio State,Iowa
Ohio State,Michigan
Ohio State,Nebraska
Ohio State,Purdue
Penn State,Illinois
Penn State,Maryland
Penn State,Ohio State
Penn State,UCLA
Penn State,Washington
Purdue,Nebraska
Purdue,Northwestern
Purdue,Oregon
Purdue,Penn State
Rutgers,Illinois
Rutgers,Minnesota
Rutgers,UCLA
Rutgers,Washington
Rutgers,Wisconsin
UCLA,Indiana
UCLA,Iowa
UCLA,Minnesota
UCLA,Oregon
UCLA,USC
USC,Nebraska
USC,Penn State
USC,Rutgers
USC,Wisconsin
Washington,Michigan
Washington,Northwestern
Washington,UCLA
Washington,USC
Wisconsin,Minnesota
Wisconsin,Oregon
Wisconsin,Penn State
Wisconsin,Purdue
