"date","home","hometrk","away","awaytrk","homewinprob","homewinch","homelosch","awaywinch","awaylosch","homewint5","homelost5","awaywint5","awaylost5","homewint8","homelost8","awaywint8","awaylost8"
"2023-10-04","Purdue",21,"Illinois",99,0.9571,0,0,0,0,0.302,0.142,0,0,0.982,0.937,0.166,0.059
"2023-10-04","Iowa",151,"Wisconsin",2,1e-04,0,0,0.188,0,0,0,1,1,0,0,1,1
"2023-10-06","Michigan",117,"Northwestern",48,0.1447,0,0,0,0,0,0,0.012,0.001,0.001,0,0.69,0.496
"2023-10-06","Rutgers",145,"Ohio St.",37,0.0783,0,0,0,0,0,0,0.048,0.014,0,0,0.82,0.622
"2023-10-06","Michigan St.",54,"Nebraska",1,0.0085,0,0,0.763,0.529,0.012,0.001,1,1,0.424,0.185,1,1
"2023-10-06","Maryland",65,"Minnesota",14,0.1134,0,0,0,0.001,0.003,0.001,0.895,0.757,0.498,0.278,1,0.998
"2023-10-06","Penn St.",13,"Indiana",20,0.8057,0.061,0.012,0.001,0,0.998,0.991,0.871,0.748,1,1,1,0.998
"2023-10-07","Michigan",117,"Nebraska",1,1e-04,0,0,0.761,0,0,0,1,1,0,0,1,1
"2023-10-07","Penn St.",13,"Ohio St.",37,0.9065,0.055,0.016,0,0,0.998,0.985,0.118,0.037,1,1,0.909,0.794
"2023-10-07","Michigan St.",54,"Northwestern",48,0.4796,0,0,0,0,0.001,0,0.017,0.003,0.299,0.084,0.785,0.529
"2023-10-07","Purdue",21,"Iowa",151,0.9889,0,0,0,0,0.296,0.207,0,0,0.981,0.946,0,0
"2023-10-07","Illinois",99,"Wisconsin",2,0.0012,0,0,0.188,0,0,0,1,1,0.083,0.064,1,1
"2023-10-07","Maryland",65,"Indiana",20,0.1698,0,0,0,0,0.005,0,0.799,0.638,0.479,0.267,0.999,0.995
"2023-10-07","Rutgers",145,"Minnesota",14,0.0161,0,0,0,0,0,0,0.881,0.745,0,0,1,1
"2023-10-11","Indiana",20,"Purdue",21,0.5727,0,0,0,0,0.881,0.626,0.455,0.176,0.999,0.997,0.995,0.97
"2023-10-11","Michigan",117,"Minnesota",14,0.0244,0,0,0,0,0,0,0.882,0.775,0.004,0,1,1
"2023-10-13","Ohio St.",37,"Illinois",99,0.8986,0,0,0,0,0.048,0.016,0.001,0,0.826,0.617,0.179,0.051
"2023-10-13","Nebraska",1,"Michigan St.",54,0.9965,0.761,0.6,0,0,1,1,0,0.001,1,1,0.4,0.186
"2023-10-13","Northwestern",48,"Maryland",65,0.7407,0,0,0,0,0.013,0.002,0.003,0,0.751,0.407,0.543,0.22
"2023-10-13","Iowa",151,"Penn St.",13,0.0046,0,0,0.051,0.022,0,0,0.997,1,0,0,1,1
"2023-10-13","Wisconsin",2,"Rutgers",145,1,0.188,NA,NA,0,1,NA,NA,0,1,NA,NA,0
"2023-10-14","Indiana",20,"Michigan",117,0.9765,0,0,0,0,0.776,0.613,0,0,0.999,0.987,0.004,0
"2023-10-14","Iowa",151,"Michigan St.",54,0.1324,0,0,0,0,0,0,0.001,0,0.001,0,0.204,0.08
"2023-10-14","Nebraska",1,"Penn St.",13,0.8853,0.796,0.492,0.221,0.029,1,1,1,0.997,1,1,1,1
"2023-10-15","Ohio St.",37,"Purdue",21,0.3855,0,0,0,0,0.084,0.02,0.355,0.199,0.889,0.752,0.992,0.962
"2023-10-15","Illinois",99,"Rutgers",145,0.7451,0,0,0,0,0,0,0,0,0.077,0.026,0,0
"2023-10-15","Wisconsin",2,"Maryland",65,0.9973,0.188,0.111,0,0,1,1,0,0.001,1,1,0.296,0.303
"2023-10-15","Minnesota",14,"Northwestern",48,0.853,0,0,0,0,0.898,0.773,0.035,0.006,1,0.999,0.826,0.634
"2023-10-18","Michigan St.",54,"Michigan",117,0.8813,0,0,0,0,0.001,0,0,0,0.202,0.076,0.003,0
"2023-10-18","Purdue",21,"Indiana",20,0.5685,0,0,0,0,0.401,0.156,0.894,0.68,0.991,0.967,0.999,0.998
"2023-10-18","Wisconsin",2,"Ohio St.",37,0.9857,0.189,0.126,0,0,1,1,0.14,0.044,1,1,0.937,0.803
"2023-10-18","Northwestern",48,"Nebraska",1,0.0149,0,0,0.763,0.644,0.06,0.009,1,1,0.893,0.659,1,1
"2023-10-20","Maryland",65,"Illinois",99,0.7256,0,0,0,0,0.001,0.001,0,0,0.357,0.162,0.133,0.037
