"gameid","team1","team2","set","team1pts","team2pts","team1setwon","team2setwon","team1sets","team2sets","team1win","team2win"
6173794,"Minnesota","TCU",1,20,25,0,1,3,1,1,0
6173794,"Minnesota","TCU",2,25,16,1,0,3,1,1,0
6173794,"Minnesota","TCU",3,25,15,1,0,3,1,1,0
6173794,"Minnesota","TCU",4,25,23,1,0,3,1,1,0
6173795,"Minnesota","Baylor",2,25,21,1,0,3,0,1,0
6173795,"Minnesota","Baylor",1,25,20,1,0,3,0,1,0
6173795,"Minnesota","Baylor",3,25,11,1,0,3,0,1,0
6173796,"Minnesota","Texas",2,25,23,1,0,1,3,0,1
6173796,"Minnesota","Texas",1,14,25,0,1,1,3,0,1
6173796,"Minnesota","Texas",3,17,25,0,1,1,3,0,1
6173796,"Minnesota","Texas",4,23,25,0,1,1,3,0,1
6173797,"Florida","Minnesota",1,25,22,1,0,3,0,1,0
6173797,"Florida","Minnesota",2,25,18,1,0,3,0,1,0
6173797,"Florida","Minnesota",3,25,22,1,0,3,0,1,0
6173798,"Oregon","Minnesota",3,25,21,1,0,2,3,0,1
6173798,"Oregon","Minnesota",4,20,25,0,1,2,3,0,1
6173798,"Oregon","Minnesota",1,21,25,0,1,2,3,0,1
6173798,"Oregon","Minnesota",5,14,16,0,1,2,3,0,1
6173798,"Oregon","Minnesota",2,25,23,1,0,2,3,0,1
6173799,"Stanford","Minnesota",4,25,16,1,0,3,1,1,0
6173799,"Stanford","Minnesota",2,19,25,0,1,3,1,1,0
6173799,"Stanford","Minnesota",3,25,16,1,0,3,1,1,0
6173799,"Stanford","Minnesota",1,25,21,1,0,3,1,1,0
6173800,"Minnesota","Creighton",4,25,22,1,0,2,3,0,1
6173800,"Minnesota","Creighton",2,25,16,1,0,2,3,0,1
6173800,"Minnesota","Creighton",1,15,25,0,1,2,3,0,1
6173800,"Minnesota","Creighton",5,9,15,0,1,2,3,0,1
6173800,"Minnesota","Creighton",3,20,25,0,1,2,3,0,1
6173801,"Iowa","Minnesota",1,14,25,0,1,2,3,0,1
6173801,"Iowa","Minnesota",2,25,20,1,0,2,3,0,1
6173801,"Iowa","Minnesota",5,6,15,0,1,2,3,0,1
6173801,"Iowa","Minnesota",4,26,24,1,0,2,3,0,1
6173801,"Iowa","Minnesota",3,16,25,0,1,2,3,0,1
6173802,"Nebraska","Minnesota",3,25,22,1,0,3,0,1,0
6173802,"Nebraska","Minnesota",1,25,23,1,0,3,0,1,0
6173802,"Nebraska","Minnesota",2,25,20,1,0,3,0,1,0
6173806,"Minnesota","High Point",3,25,20,1,0,3,1,1,0
6173806,"Minnesota","High Point",2,25,11,1,0,3,1,1,0
6173806,"Minnesota","High Point",4,25,17,1,0,3,1,1,0
6173806,"Minnesota","High Point",1,22,25,0,1,3,1,1,0
6173822,"Northern Ky.","Ohio St.",1,17,25,0,1,0,3,0,1
6173822,"Northern Ky.","Ohio St.",3,21,25,0,1,0,3,0,1
6173822,"Northern Ky.","Ohio St.",2,21,25,0,1,0,3,0,1
6173823,"Oregon","Ohio St.",1,28,26,1,0,3,1,1,0
6173823,"Oregon","Ohio St.",4,25,19,1,0,3,1,1,0
6173823,"Oregon","Ohio St.",2,25,27,0,1,3,1,1,0
6173823,"Oregon","Ohio St.",3,25,20,1,0,3,1,1,0
6173824,"Texas","Ohio St.",1,25,27,0,1,3,1,1,0
6173824,"Texas","Ohio St.",2,25,13,1,0,3,1,1,0
6173824,"Texas","Ohio St.",4,25,23,1,0,3,1,1,0
6173824,"Texas","Ohio St.",3,25,14,1,0,3,1,1,0
6173825,"Baylor","Ohio St.",3,18,25,0,1,3,2,1,0
6173825,"Baylor","Ohio St.",5,15,8,1,0,3,2,1,0
6173825,"Baylor","Ohio St.",1,25,22,1,0,3,2,1,0
6173825,"Baylor","Ohio St.",4,23,25,0,1,3,2,1,0
6173825,"Baylor","Ohio St.",2,25,19,1,0,3,2,1,0
6173826,"Iowa","Ohio St.",2,24,26,0,1,0,3,0,1
6173826,"Iowa","Ohio St.",1,22,25,0,1,0,3,0,1
6173826,"Iowa","Ohio St.",3,14,25,0,1,0,3,0,1
6173829,"Indiana","New Hampshire",2,25,18,1,0,3,0,1,0
6173829,"Indiana","New Hampshire",1,25,20,1,0,3,0,1,0
6173829,"Indiana","New Hampshire",3,25,12,1,0,3,0,1,0
6173830,"Indiana","Radford",1,25,5,1,0,3,0,1,0
6173830,"Indiana","Radford",3,25,14,1,0,3,0,1,0
6173830,"Indiana","Radford",2,25,15,1,0,3,0,1,0
6173831,"Indiana","Southern Ind.",3,25,18,1,0,3,0,1,0
6173831,"Indiana","Southern Ind.",2,25,14,1,0,3,0,1,0
6173831,"Indiana","Southern Ind.",1,25,16,1,0,3,0,1,0
6173832,"Long Beach St.","Indiana",4,25,21,1,0,3,1,1,0
6173832,"Long Beach St.","Indiana",1,28,26,1,0,3,1,1,0
6173832,"Long Beach St.","Indiana",3,24,26,0,1,3,1,1,0
6173832,"Long Beach St.","Indiana",2,25,23,1,0,3,1,1,0
6173833,"UCLA","Indiana",1,18,25,0,1,3,1,1,0
6173833,"UCLA","Indiana",4,27,25,1,0,3,1,1,0
6173833,"UCLA","Indiana",3,25,21,1,0,3,1,1,0
6173833,"UCLA","Indiana",2,25,14,1,0,3,1,1,0
6173834,"Washington","Indiana",1,26,24,1,0,3,0,1,0
6173834,"Washington","Indiana",3,25,21,1,0,3,0,1,0
6173834,"Washington","Indiana",2,25,22,1,0,3,0,1,0
6173835,"Indiana","Valparaiso",1,25,16,1,0,3,0,1,0
6173835,"Indiana","Valparaiso",3,25,15,1,0,3,0,1,0
6173835,"Indiana","Valparaiso",2,25,15,1,0,3,0,1,0
6173836,"Lindenwood","Indiana",3,11,25,0,1,0,3,0,1
6173836,"Lindenwood","Indiana",1,21,25,0,1,0,3,0,1
6173836,"Lindenwood","Indiana",2,17,25,0,1,0,3,0,1
6173837,"Austin Peay","Indiana",1,13,25,0,1,0,3,0,1
6173837,"Austin Peay","Indiana",3,18,25,0,1,0,3,0,1
6173837,"Austin Peay","Indiana",2,19,25,0,1,0,3,0,1
6173838,"Indiana","Stetson",1,25,12,1,0,3,0,1,0
6173838,"Indiana","Stetson",3,25,10,1,0,3,0,1,0
6173838,"Indiana","Stetson",2,25,17,1,0,3,0,1,0
6173839,"Miami (FL)","Indiana",1,22,25,0,1,2,3,0,1
6173839,"Miami (FL)","Indiana",3,18,25,0,1,2,3,0,1
6173839,"Miami (FL)","Indiana",5,12,15,0,1,2,3,0,1
6173839,"Miami (FL)","Indiana",2,25,23,1,0,2,3,0,1
6173839,"Miami (FL)","Indiana",4,25,23,1,0,2,3,0,1
6173840,"Indiana","Jacksonville",2,25,17,1,0,3,0,1,0
6173840,"Indiana","Jacksonville",3,25,22,1,0,3,0,1,0
6173840,"Indiana","Jacksonville",1,25,20,1,0,3,0,1,0
6173841,"FIU","Indiana",3,19,25,0,1,0,3,0,1
6173841,"FIU","Indiana",1,15,25,0,1,0,3,0,1
6173841,"FIU","Indiana",2,21,25,0,1,0,3,0,1
6173842,"Indiana","Illinois",4,25,17,1,0,3,1,1,0
6173842,"Indiana","Illinois",1,25,13,1,0,3,1,1,0
6173842,"Indiana","Illinois",3,25,17,1,0,3,1,1,0
6173842,"Indiana","Illinois",2,24,26,0,1,3,1,1,0
6173843,"Wisconsin","Indiana",2,25,23,1,0,3,0,1,0
