"rank","teams","pts"
1,"Nebraska",0.641
2,"Wisconsin",0.627
3,"Pittsburgh",0.625
4,"Oregon",0.62
5,"Tennessee",0.615
6,"Louisville",0.612
7,"Arizona St.",0.61
8,"Stanford",0.608
9,"BYU",0.606
10,"Georgia Tech",0.603
11,"Texas",0.6
12,"Arkansas",0.597
13,"Penn St.",0.597
14,"Minnesota",0.595
15,"Florida",0.593
16,"Kansas",0.592
17,"Texas A&M",0.588
18,"Dayton",0.587
19,"Wright St.",0.586
20,"Kentucky",0.583
21,"Houston",0.58
22,"Creighton",0.58
23,"Western Ky.",0.579
24,"Indiana",0.578
25,"TCU",0.578
26,"Utah St.",0.578
27,"Purdue",0.577
28,"Washington St.",0.577
29,"UCF",0.575
30,"Baylor",0.574
31,"Marquette",0.573
32,"Iowa St.",0.572
33,"SMU",0.571
34,"Florida St.",0.57
35,"UC Santa Barbara",0.569
36,"LMU (CA)",0.567
37,"Ohio St.",0.567
38,"Western Mich.",0.566
39,"Hawaii",0.566
40,"San Diego",0.566
41,"California",0.565
42,"Southern California",0.563
43,"Georgia",0.563
44,"Drake",0.562
45,"Long Beach St.",0.562
46,"Pepperdine",0.561
47,"Kansas St.",0.561
48,"Northwestern",0.56
49,"UCLA",0.559
50,"Washington",0.559
51,"Colorado",0.557
52,"Auburn",0.557
53,"UNI",0.557
54,"Miami (FL)",0.555
55,"NC State",0.554
56,"Michigan St.",0.554
57,"LSU",0.554
58,"Rice",0.554
59,"Duke",0.553
60,"SFA",0.551
61,"South Alabama",0.549
62,"Ga. Southern",0.549
63,"Wichita St.",0.547
64,"Utah",0.546
65,"Colorado St.",0.546
66,"Mississippi St.",0.546
67,"Grand Canyon",0.545
68,"Ohio",0.542
69,"Wake Forest",0.542
70,"Maryland",0.541
71,"Weber St.",0.541
72,"Navy",0.541
73,"Pacific",0.541
74,"Portland St.",0.541
75,"UNLV",0.54
76,"UTEP",0.54
77,"Cincinnati",0.54
78,"East Carolina",0.54
79,"North Carolina",0.539
80,"Notre Dame",0.538
81,"Oklahoma",0.538
82,"Boston College",0.538
83,"James Madison",0.538
84,"Arizona",0.536
85,"Eastern Ill.",0.535
86,"Virginia Tech",0.534
87,"Buffalo",0.534
88,"Ole Miss",0.533
89,"Eastern Ky.",0.532
90,"Colgate",0.532
91,"UIC",0.532
92,"Towson",0.531
93,"Troy",0.531
94,"Bowling Green",0.531
95,"FGCU",0.531
96,"South Carolina",0.531
97,"Loyola Chicago",0.53
98,"High Point",0.53
99,"New Mexico St.",0.529
100,"Missouri",0.529
101,"New Mexico",0.529
102,"Illinois",0.528
103,"Lipscomb",0.528
104,"Southeastern La.",0.527
105,"Xavier",0.527
106,"Texas St.",0.527
107,"Clemson",0.527
108,"North Texas",0.525
109,"Davidson",0.525
110,"UC Davis",0.525
111,"Michigan",0.525
112,"Tulsa",0.525
113,"App State",0.525
114,"Liberty",0.525
115,"Sacramento St.",0.524
116,"Wyoming",0.523
117,"UMBC",0.523
118,"Alabama",0.523
119,"Oregon St.",0.523
120,"Wofford",0.522
121,"Cal Poly",0.522
122,"San Diego St.",0.521
123,"Ball St.",0.521
124,"Middle Tenn.",0.52
125,"Southern Miss.",0.52
126,"Milwaukee",0.52
127,"Villanova",0.52
128,"South Fla.",0.52
129,"San Jose St.",0.519
130,"UTSA",0.519
131,"Texas Tech",0.519
132,"Temple",0.519
