"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6173794,"Minnesota","TCU",3,1,1,0
6173795,"Minnesota","Baylor",3,0,1,0
6173796,"Minnesota","Texas",1,3,0,1
6173797,"Florida","Minnesota",3,0,1,0
6173798,"Oregon","Minnesota",2,3,0,1
6173799,"Stanford","Minnesota",3,1,1,0
6173800,"Minnesota","Creighton",2,3,0,1
6173801,"Iowa","Minnesota",2,3,0,1
6173802,"Nebraska","Minnesota",3,0,1,0
6173803,"Minnesota","Michigan",3,0,1,0
6173806,"Minnesota","High Point",3,1,1,0
6173807,"Minnesota","Penn St.",1,3,0,1
6173822,"Northern Ky.","Ohio St.",0,3,0,1
6173823,"Oregon","Ohio St.",3,1,1,0
6173824,"Texas","Ohio St.",3,1,1,0
6173825,"Baylor","Ohio St.",3,2,1,0
6173826,"Iowa","Ohio St.",0,3,0,1
6173827,"Ohio St.","Wisconsin",0,3,0,1
6173829,"Indiana","New Hampshire",3,0,1,0
6173830,"Indiana","Radford",3,0,1,0
6173831,"Indiana","Southern Ind.",3,0,1,0
6173832,"Long Beach St.","Indiana",3,1,1,0
6173833,"UCLA","Indiana",3,1,1,0
6173834,"Washington","Indiana",3,0,1,0
6173835,"Indiana","Valparaiso",3,0,1,0
6173836,"Lindenwood","Indiana",0,3,0,1
6173837,"Austin Peay","Indiana",0,3,0,1
6173838,"Indiana","Stetson",3,0,1,0
6173839,"Miami (FL)","Indiana",2,3,0,1
6173840,"Indiana","Jacksonville",3,0,1,0
6173841,"FIU","Indiana",0,3,0,1
6173842,"Indiana","Illinois",3,1,1,0
6173843,"Wisconsin","Indiana",3,0,1,0
6173844,"Indiana","Iowa",3,0,1,0
6173845,"Indiana","Nebraska",1,3,0,1
6173861,"Ohio St.","Bowling Green",3,2,1,0
6173862,"ETSU","Ohio St.",0,3,0,1
6173863,"Ohio St.","Georgia Tech",1,3,0,1
6173864,"Ohio St.","Georgia Tech",1,3,0,1
6173865,"Stanford","Ohio St.",3,0,1,0
6173866,"Nebraska","Ohio St.",3,0,1,0
6173879,"Wisconsin","Tennessee",3,2,1,0
