"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Nebraska",7608,1863,510,19,0,0,0,0,0,0,0,0,0,0
"Wisconsin",1878,5560,2328,210,23,1,0,0,0,0,0,0,0,0
"Penn St.",511,2444,5818,989,208,29,1,0,0,0,0,0,0,0
"Minnesota",2,65,712,4843,3170,996,181,29,2,0,0,0,0,0
"Indiana",1,60,529,3045,4085,1765,405,93,13,4,0,0,0,0
"Purdue",0,8,97,820,2026,4761,1623,469,145,44,7,0,0,0
"Ohio St.",0,0,6,62,381,1524,3673,2400,1182,577,191,4,0,0
"Northwestern",0,0,0,12,89,629,2578,3313,1984,931,441,17,6,0
"Maryland",0,0,0,0,10,169,895,1959,3011,2483,1368,85,20,0
"Michigan St.",0,0,0,0,7,106,518,1241,2469,3400,2074,155,25,5
"Illinois",0,0,0,0,1,20,126,491,1174,2418,4957,653,133,27
"Michigan",0,0,0,0,0,0,0,3,11,64,424,3791,3257,2450
"Rutgers",0,0,0,0,0,0,0,1,6,48,356,2967,3286,3336
"Iowa",0,0,0,0,0,0,0,1,3,31,182,2328,3273,4182
